1a cold=0.048 warm=0.040
1b cold=0.042 warm=0.108
1c cold=0.045 warm=0.037
1d cold=0.050 warm=0.044
2a cold=0.089 warm=0.083
2b cold=0.089 warm=0.074
2c cold=0.054 warm=0.047
2d cold=0.100 warm=0.162
3a cold=0.550 warm=0.317
3b cold=0.333 warm=0.216
3c cold=0.704 warm=0.443
4a cold=0.264 warm=0.172
4b cold=0.077 warm=0.066
4c cold=0.445 warm=0.283
5a cold=0.194 warm=0.235
5b cold=0.211 warm=0.179
5c cold=0.465 warm=0.423
6a cold=0.413 warm=0.403
6b cold=0.251 warm=0.229
6c cold=0.444 warm=0.326
6d cold=0.437 warm=0.467
6e cold=0.415 warm=0.362
6f cold=0.957 warm=0.894
7a cold=0.174 warm=0.137
7b cold=0.097 warm=0.082
7c cold=2.092 warm=1.339
8a cold=0.300 warm=0.251
8b cold=0.246 warm=0.283
8c cold=0.821 warm=0.751
8d cold=0.223 warm=0.205
9a cold=0.649 warm=0.538
9b cold=0.339 warm=0.298
9c cold=0.415 warm=0.369
9d cold=0.521 warm=0.465
10a cold=0.325 warm=0.231
10b cold=0.239 warm=0.207
10c cold=1.085 warm=1.024
11a cold=0.020 warm=0.016
11b cold=0.018 warm=0.014
11c cold=0.111 warm=0.098
11d cold=0.339 warm=0.270
12a cold=0.103 warm=0.086
12b cold=0.275 warm=0.209
12c cold=0.127 warm=0.112
13a cold=0.083 warm=0.067
13b cold=0.274 warm=0.196
13c cold=0.187 warm=0.168
13d cold=0.174 warm=0.157
14a cold=0.125 warm=0.107
14b cold=0.155 warm=0.099
14c cold=0.192 warm=0.168
15a cold=0.397 warm=0.321
15b cold=0.377 warm=0.323
15c cold=0.335 warm=0.361
15d cold=0.360 warm=0.337
16a cold=0.314 warm=0.299
16b cold=1.295 warm=1.212
16c cold=0.387 warm=0.395
16d cold=0.372 warm=0.322
17a cold=0.659 warm=0.548
17b cold=0.913 warm=0.844
17c cold=0.845 warm=0.840
17d cold=0.966 warm=0.837
17e cold=0.684 warm=0.634
17f cold=1.098 warm=1.007
18a cold=0.801 warm=0.727
18b cold=0.641 warm=0.566
18c cold=0.779 warm=0.669
19a cold=0.680 warm=0.649
19b cold=0.355 warm=0.307
19c cold=0.642 warm=0.610
19d cold=0.667 warm=0.610
20a cold=0.603 warm=0.524
20b cold=0.511 warm=0.448
20c cold=0.547 warm=0.473
21a cold=0.039 warm=0.026
21b cold=0.035 warm=0.025
21c cold=0.038 warm=0.026
22a cold=0.248 warm=0.223
22b cold=0.213 warm=0.261
22c cold=0.492 warm=0.496
22d cold=0.697 warm=0.574
23a cold=0.330 warm=0.229
23b cold=0.249 warm=0.217
23c cold=0.297 warm=0.246
24a cold=0.510 warm=0.482
24b cold=0.438 warm=0.282
25a cold=0.682 warm=0.661
25b cold=0.322 warm=0.224
25c cold=0.874 warm=0.841
26a cold=0.591 warm=0.523
26b cold=0.415 warm=0.313
26c cold=0.619 warm=0.496
27a cold=0.034 warm=0.023
27b cold=0.032 warm=0.022
27c cold=0.034 warm=0.023
28a cold=0.481 warm=0.352
28b cold=0.336 warm=0.235
28c cold=0.559 warm=0.366
29a cold=0.394 warm=0.318
29b cold=0.438 warm=0.317
29c cold=0.825 warm=0.638
30a cold=0.603 warm=0.523
30b cold=0.339 warm=0.278
30c cold=0.739 warm=0.659
31a cold=0.534 warm=0.458
31b cold=0.463 warm=0.394
31c cold=0.623 warm=0.539
32a cold=0.008 warm=0.006
32b cold=0.045 warm=0.036
33a cold=0.061 warm=0.053
33b cold=0.097 warm=0.087
33c cold=0.082 warm=0.071
